feature,gain_importance,importance_pct
lag_1,588493502831.3926,65.74096635401764
lag_168,167143710711.23047,18.671725361938027
lag_24,64334749957.48828,7.18687396207522
hour,35298631038.515625,3.9432314958127863
lag_3,14553197587.580078,1.6257465347456614
lag_2,12496634173.695312,1.3960065876661814
weekday,6632522191.105469,0.7409230792012077
lag_48,2694329477.580078,0.3009851811107899
month,1934310346.102539,0.21608298268296847
cluster_id,1258409668.390625,0.14057770777622505
is_weekend,330145489.3046875,0.03688075297328902
